"MTU (CET/CEST)","Area","Sequence","Day-ahead Price [EUR/MWh]","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|NL","Without sequence","90.0","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|NL","Without sequence","78.8","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|NL","Without sequence","77.78","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|NL","Without sequence","85.0","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|NL","Without sequence","99.9","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|NL","Without sequence","112.67","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|NL","Without sequence","135.69","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|NL","Without sequence","129.25","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|NL","Without sequence","126.3","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|NL","Without sequence","108.82","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|NL","Without sequence","93.66","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|NL","Without sequence","84.9","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|NL","Without sequence","88.0","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|NL","Without sequence","75.54","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|NL","Without sequence","86.76","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|NL","Without sequence","86.73","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|NL","Without sequence","81.22","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|NL","Without sequence","80.48","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|NL","Without sequence","77.9","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|NL","Without sequence","79.3","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|NL","Without sequence","96.0","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|NL","Without sequence","132.52","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|NL","Without sequence","130.39","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|NL","Without sequence","111.21","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|NL","Without sequence","109.13","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|NL","Without sequence","89.1","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|NL","Without sequence","87.45","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|NL","Without sequence","84.9","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|NL","Without sequence","106.34","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|NL","Without sequence","127.94","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|NL","Without sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|NL","Without sequence","140.0","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|NL","Without sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|NL","Without sequence","120.0","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|NL","Without sequence","97.3","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|NL","Without sequence","91.3","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|NL","Without sequence","82.31","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|NL","Without sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|NL","Without sequence","88.59","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|NL","Without sequence","87.25","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|NL","Without sequence","82.38","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|NL","Without sequence","81.2","",""
